image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001469877_Raw13_f_00010.jpg,2559,2379,1453,1453
0001469897_Raw00_f_00006.jpg,2795,2457,1108,1108
0001469897_Raw02_f_00001.jpg,5420,4924,2074,2074
0001469912_Raw12_f_00001.jpg,3387,3155,2571,2571
0001469912_Raw12_f_00005.jpg,2823,2610,1807,1807
0001469928_Raw11_f_00002.jpg,1352,1188,812,812
0001469928_Raw11_f_00006.jpg,1036,996,663,663
0001469928_Raw12_f_00002.jpg,2854,2713,2200,2200
0001469928_Raw13_f_00002.jpg,3010,2709,1809,1809
0001470010_Raw02_f_00001.jpg,2063,1963,1042,1042
0001470010_Raw11_f_00007.jpg,831,823,516,516
0001470010_Raw12_f_00007.jpg,1821,1740,1056,1056
0001470010_Raw12_f_00008.jpg,2329,2182,1431,1431
0001470010_Raw13_f_00007.jpg,2787,2579,1799,1799
0001470010_Raw13_f_00008.jpg,2802,2619,2036,2036
0001470016_Raw11_f_00000.jpg,1139,1118,982,982
0001470016_Raw13_f_00008.jpg,1893,1776,1277,1277
0001470055_Raw02_f_00007.jpg,1970,1933,515,515
0001470055_Raw12_f_00002.jpg,6021,5707,3846,3846
0001470112_Raw13_f_00002.jpg,3628,3405,1961,1961
0001470125_Raw13_f_00002.jpg,9107,7862,4261,4261
0001470125_Raw13_f_00003.jpg,8392,7573,4242,4242
0001470125_Raw13_f_00004.jpg,6464,5955,3271,3271
0001470125_Raw13_f_00007.jpg,8413,7240,3752,3752
0001470146_Raw11_f_00009.jpg,1426,1227,685,685
0001470146_Raw13_f_00001.jpg,8554,7176,4360,4360
0001470146_Raw13_f_00002.jpg,8952,7162,4334,4334
0001470146_Raw13_f_00008.jpg,8350,7101,3809,3809
0001470198_Raw11_f_00009.jpg,1068,877,503,503
0001470204_Raw10_f_00001.jpg,765,761,516,516
0001470204_Raw10_f_00003.jpg,1283,1207,826,826
0001470204_Raw10_f_00012.jpg,1341,1223,997,997
0001470204_Raw11_f_00001.jpg,737,732,500,500
0001470204_Raw11_f_00011.jpg,764,731,469,469
0001470204_Raw11_f_00012.jpg,3079,2525,1736,1736
0001470204_Raw12_f_00004.jpg,2676,2316,1071,1071
0001470204_Raw12_f_00011.jpg,1964,1895,1195,1195
0001470204_Raw12_f_00012.jpg,5830,4854,3252,3252
0001470204_Raw13_f_00001.jpg,3995,3611,2207,2207
0001470204_Raw13_f_00002.jpg,3444,3210,2131,2131
0001472015_Raw02_f_00001.jpg,1979,1872,951,951
0001472015_Raw12_f_00011.jpg,2522,2348,1672,1672
0001472015_Raw12_f_00012.jpg,3302,3062,2006,2006
0001472015_Raw13_f_00005.jpg,3673,3279,1972,1972
0001472015_Raw13_f_00006.jpg,2910,2675,1691,1691
0001472015_Raw13_f_00012.jpg,4049,3664,2158,2158
0001472115_Raw00_f_00006.jpg,4122,3799,1980,1980
0001472115_Raw01_f_00002.jpg,4225,3731,1967,1967
0001472115_Raw01_f_00003.jpg,4321,3846,2251,2251
0001472115_Raw01_f_00006.jpg,4423,3962,2084,2084
0001472221_Raw02_f_00001.jpg,4511,3905,1938,1938
0001472221_Raw10_f_00002.jpg,2039,1904,1032,1032
0001472221_Raw11_f_00002.jpg,2568,2244,1263,1263
0001472221_Raw12_f_00002.jpg,4161,3715,2091,2091
0001472221_Raw13_f_00002.jpg,6573,5853,3451,3451
0001472221_Raw13_f_00004.jpg,4083,3598,1882,1882
0001472228_Raw01_f_00019.jpg,5346,5024,3732,3732
0001472228_Raw02_f_00019.jpg,3851,3398,2023,2023
0001472228_Raw02_f_00020.jpg,6172,5556,3352,3352
0001472228_Raw03_f_00020.jpg,6208,5554,3224,3224
0001472228_Raw11_f_00020.jpg,3998,3255,1429,1429
