image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1589,1123,1123
0001404397-Raw00-f_00011.jpg,2540,2540,846,846
0001404397-Raw01-f_00003.jpg,1783,1783,938,938
0001404397-Raw01-f_00006.jpg,2579,2579,1156,1156
0001416364-Raw00-f_00008.jpg,5410,5410,2916,2916
0001416364-Raw00-f_00009.jpg,6587,6587,2982,2982
0001416364-Raw01-f_00002.jpg,4066,4066,2257,2257
0001416364-Raw01-f_00003.jpg,3137,3137,1887,1887
0001416364-Raw01-f_00005.jpg,3928,3928,2178,2178
0001416364-Raw02-f_00009.jpg,4237,4237,2534,2534
0001416970-Raw01-f_00005.jpg,2074,2074,1122,1122
0001416970-Raw02-f_00003.jpg,2794,2794,1448,1448
0001416970-Raw02-f_00005.jpg,2555,2555,1543,1543
0001416970-Raw12-f_00004.jpg,1765,1765,1096,1096
0001416970-Raw13-f_00008.jpg,2812,2812,1588,1588
0001417541-Raw00-f_00005.jpg,2168,2168,1205,1205
0001417541-Raw02-f_00006.jpg,2557,2557,1393,1393
0001417541-Raw02-f_00007.jpg,3530,3530,1595,1595
0001417541-Raw02-f_00011.jpg,2425,2425,1213,1213
0001417541-Raw03-f_00006.jpg,1661,1661,1229,1229
0001417541-Raw03-f_00007.jpg,1477,1477,1110,1110
0001417971-Raw02-f_00002.jpg,3767,3767,1970,1970
0001417971-Raw02-f_00011.jpg,3741,3741,1643,1643
0001417971-Raw12-f_00007.jpg,725,725,529,529
0001420781-Raw00-f_00004.jpg,7596,7596,4040,4040
0001420781-Raw01-f_00002.jpg,5274,5274,2516,2516
0001420781-Raw01-f_00009.jpg,5888,5888,2961,2961
0001420781-Raw01-f_00010.jpg,5977,5977,3313,3313
0001420781-Raw02-f_00007.jpg,5826,5826,2556,2556
0001420781-Raw02-f_00009.jpg,5598,5598,2712,2712
0001422620-Raw00-f_00002.jpg,4110,4110,1998,1998
0001422620-Raw00-f_00004.jpg,3449,3449,1761,1761
0001422620-Raw00-f_00005.jpg,3693,3693,1896,1896
0001422620-Raw01-f_00001.jpg,4588,4588,1935,1935
0001422620-Raw01-f_00003.jpg,4785,4785,2285,2285
0001422620-Raw01-f_00004.jpg,4898,4898,2318,2318
0001422620-Raw01-f_00006.jpg,4882,4882,2208,2208
0001422620-Raw01-f_00007.jpg,2090,2090,1514,1514
0001422620-Raw02-f_00004.jpg,3767,3767,2087,2087
0001429378-Raw01-f_00002.jpg,3541,3541,1601,1601
0001430517-Raw02-f_00004.jpg,4393,4393,1853,1853
0001430517-Raw02-f_00009.jpg,3277,3277,1251,1251
0001432633-Raw00-f_00002.jpg,1768,1768,963,963
0001432633-Raw01-f_00001.jpg,2175,2175,850,850
0001432633-Raw01-f_00008.jpg,2385,2385,1100,1100
0001432633-Raw02-f_00000.jpg,1797,1797,1040,1040
0001432633-Raw02-f_00002.jpg,3235,3235,1586,1586
0001432633-Raw02-f_00003.jpg,3134,3134,1343,1343
0001433039-Raw00-f_00006.jpg,4907,4907,2276,2276
0001441823-Raw00-f_00001.jpg,2829,2829,1250,1250
0001441823-Raw00-f_00002.jpg,2882,2882,1562,1562
0001441823-Raw00-f_00004.jpg,2286,2286,942,942
0001441823-Raw01-f_00002.jpg,2359,2359,897,897
0001441823-Raw02-f_00001.jpg,3755,3755,1443,1443
0001441823-Raw02-f_00003.jpg,5255,5255,1438,1438
0001441823-Raw02-f_00007.jpg,5936,5936,1781,1781
0001441823-Raw02-f_00010.jpg,5101,5101,1532,1532
0001441823-Raw12-f_00000.jpg,2898,2898,2160,2160
0001441824-Raw01-f_00007.jpg,1907,1907,955,955
0001441824-Raw01-f_00010.jpg,2275,2275,989,989
0001441824-Raw02-f_00004.jpg,7653,7653,2205,2205
0001441824-Raw02-f_00011.jpg,9411,9411,2595,2595
0001441830-Raw00-f_00001.jpg,2267,2267,1111,1111
0001441830-Raw00-f_00002.jpg,2232,2232,1091,1091
0001441830-Raw00-f_00003.jpg,1448,1448,712,712
0001441830-Raw01-f_00002.jpg,2214,2214,1104,1104
0001441830-Raw01-f_00003.jpg,2666,2666,1150,1150
0001441830-Raw01-f_00004.jpg,2290,2290,1022,1022
0001441830-Raw01-f_00005.jpg,2981,2981,1609,1609
0001441830-Raw01-f_00007.jpg,2022,2022,974,974
0001441830-Raw01-f_00008.jpg,2750,2750,1260,1260
0001441830-Raw02-f_00001.jpg,12331,12331,3118,3118
0001441830-Raw02-f_00002.jpg,6023,6023,1665,1665
0001441830-Raw02-f_00003.jpg,5939,5939,1774,1774
0001441830-Raw03-f_00001.jpg,2745,2745,1178,1178
0001441830-Raw03-f_00003.jpg,1622,1622,1076,1076
0001441830-Raw03-f_00008.jpg,1767,1767,1294,1294
0001441830-Raw03-f_00009.jpg,2368,2368,1831,1831
0001469108_Raw02_f_00001.jpg,2837,2837,2062,2062
0001469108_Raw13_f_00012.jpg,5957,5957,2973,2973
0001469690_Raw00_f_00001.jpg,5659,5659,3034,3034
0001469690_Raw01_f_00004.jpg,2652,2652,1448,1448
0001469723_Raw11_f_00005.jpg,1630,1630,922,922
0001469762_Raw11_f_00004.jpg,3179,3179,2197,2197
0001469762_Raw12_f_00003.jpg,11277,11277,5677,5677
0001469762_Raw12_f_00005.jpg,4999,4999,3688,3688
0001469762_Raw12_f_00006.jpg,7339,7339,4198,4198
0001469762_Raw13_f_00001.jpg,7546,7546,2975,2975
0001469762_Raw13_f_00002.jpg,3484,3484,2423,2423
0001469762_Raw13_f_00004.jpg,4391,4391,2666,2666
0001469762_Raw13_f_00006.jpg,3500,3500,2147,2147
0001469763_Raw11_f_00006.jpg,1774,1774,1242,1242
0001469763_Raw12_f_00002.jpg,4175,4175,3094,3094
0001469763_Raw12_f_00003.jpg,3352,3352,2613,2613
0001469763_Raw12_f_00005.jpg,4372,4372,3289,3289
0001469763_Raw12_f_00006.jpg,3868,3868,2712,2712
0001469763_Raw13_f_00001.jpg,3117,3117,2271,2271
0001469763_Raw13_f_00005.jpg,3616,3616,2787,2787
0001469820_Raw01_f_00009.jpg,2426,2426,1230,1230
0001469820_Raw12_f_00018.jpg,2230,2230,1503,1503
0001469871_Raw02_f_00001.jpg,3044,3044,1355,1355
0001469871_Raw03_f_00001.jpg,1801,1801,1118,1118
0001469877_Raw12_f_00010.jpg,1458,1458,855,855
0001469877_Raw13_f_00010.jpg,2559,2559,1491,1491
0001469897_Raw00_f_00006.jpg,2795,2795,1128,1128
0001469897_Raw02_f_00001.jpg,5420,5420,2132,2132
0001469912_Raw12_f_00001.jpg,3387,3387,2727,2727
0001469912_Raw12_f_00005.jpg,2823,2823,1845,1845
0001469928_Raw11_f_00002.jpg,1352,1352,844,844
0001469928_Raw11_f_00006.jpg,1036,1036,669,669
0001469928_Raw12_f_00002.jpg,2854,2854,2275,2275
0001469928_Raw13_f_00002.jpg,3010,3010,1914,1914
0001470010_Raw02_f_00001.jpg,2063,2063,1073,1073
0001470010_Raw11_f_00007.jpg,831,831,519,519
0001470010_Raw12_f_00007.jpg,1821,1821,1077,1077
0001470010_Raw12_f_00008.jpg,2329,2329,1469,1469
0001470010_Raw13_f_00007.jpg,2787,2787,1874,1874
0001470010_Raw13_f_00008.jpg,2802,2802,2126,2126
0001470016_Raw11_f_00000.jpg,1139,1139,998,998
0001470016_Raw13_f_00008.jpg,1893,1893,1329,1329
0001470055_Raw02_f_00007.jpg,1970,1970,530,530
0001470055_Raw12_f_00002.jpg,6021,6021,3937,3937
0001470112_Raw13_f_00002.jpg,3628,3628,1985,1985
0001470125_Raw13_f_00002.jpg,9107,9107,4466,4466
0001470125_Raw13_f_00003.jpg,8392,8392,4346,4346
0001470125_Raw13_f_00004.jpg,6464,6464,3363,3363
0001470125_Raw13_f_00007.jpg,8413,8413,3898,3898
0001470146_Raw11_f_00009.jpg,1426,1426,720,720
0001470146_Raw13_f_00001.jpg,8554,8554,4598,4598
0001470146_Raw13_f_00002.jpg,8952,8952,4598,4598
0001470146_Raw13_f_00008.jpg,8350,8350,4016,4016
0001470198_Raw11_f_00009.jpg,1068,1068,552,552
0001470204_Raw10_f_00001.jpg,765,765,516,516
0001470204_Raw10_f_00003.jpg,1283,1283,833,833
0001470204_Raw10_f_00012.jpg,1341,1341,1083,1083
0001470204_Raw11_f_00001.jpg,737,737,501,501
