image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1533,1118,1118
0001404397-Raw00-f_00011.jpg,2540,2189,844,844
0001404397-Raw01-f_00003.jpg,1783,1759,937,937
0001404397-Raw01-f_00006.jpg,2579,2483,1152,1152
0001416364-Raw00-f_00008.jpg,5410,5181,2905,2905
0001416364-Raw00-f_00009.jpg,6587,6239,2942,2942
0001416364-Raw01-f_00002.jpg,4066,3963,2245,2245
0001416364-Raw01-f_00003.jpg,3137,3064,1869,1869
0001416364-Raw01-f_00005.jpg,3928,3791,2172,2172
0001416364-Raw02-f_00009.jpg,4237,4093,2506,2506
0001416970-Raw01-f_00005.jpg,2074,2037,1112,1112
0001416970-Raw02-f_00003.jpg,2794,2735,1434,1434
0001416970-Raw02-f_00005.jpg,2555,2501,1522,1522
0001416970-Raw12-f_00004.jpg,1765,1738,1089,1089
0001416970-Raw13-f_00008.jpg,2812,2711,1578,1578
0001417541-Raw00-f_00005.jpg,2168,2146,1203,1203
0001417541-Raw02-f_00006.jpg,2557,2519,1387,1387
0001417541-Raw02-f_00007.jpg,3530,3444,1583,1583
0001417541-Raw02-f_00011.jpg,2425,2384,1205,1205
0001417541-Raw03-f_00006.jpg,1661,1623,1222,1222
0001417541-Raw03-f_00007.jpg,1477,1429,1100,1100
0001417971-Raw02-f_00002.jpg,3767,3664,1950,1950
0001417971-Raw02-f_00011.jpg,3741,3578,1629,1629
0001417971-Raw12-f_00007.jpg,725,707,523,523
0001420781-Raw00-f_00004.jpg,7596,7417,4013,4013
0001420781-Raw01-f_00002.jpg,5274,5119,2498,2498
0001420781-Raw01-f_00009.jpg,5888,5653,2930,2930
0001420781-Raw01-f_00010.jpg,5977,5850,3276,3276
0001420781-Raw02-f_00007.jpg,5826,5643,2508,2508
0001420781-Raw02-f_00009.jpg,5598,5468,2696,2696
0001422620-Raw00-f_00002.jpg,4110,3908,1980,1980
0001422620-Raw00-f_00004.jpg,3449,3327,1747,1747
0001422620-Raw00-f_00005.jpg,3693,3487,1879,1879
0001422620-Raw01-f_00001.jpg,4588,4390,1926,1926
0001422620-Raw01-f_00003.jpg,4785,4519,2261,2261
0001422620-Raw01-f_00004.jpg,4898,4704,2289,2289
0001422620-Raw01-f_00006.jpg,4882,4634,2191,2191
0001422620-Raw01-f_00007.jpg,2090,1993,1493,1493
0001422620-Raw02-f_00004.jpg,3767,3619,2079,2079
0001429378-Raw01-f_00002.jpg,3541,3449,1597,1597
0001430517-Raw02-f_00004.jpg,4393,4293,1843,1843
0001430517-Raw02-f_00009.jpg,3277,3226,1248,1248
0001432633-Raw00-f_00002.jpg,1768,1704,963,963
0001432633-Raw01-f_00001.jpg,2175,2097,847,847
0001432633-Raw01-f_00008.jpg,2385,2335,1098,1098
0001432633-Raw02-f_00000.jpg,1797,1754,1037,1037
0001432633-Raw02-f_00002.jpg,3235,2978,1584,1584
0001432633-Raw02-f_00003.jpg,3134,3006,1340,1340
0001433039-Raw00-f_00006.jpg,4907,4476,2248,2248
0001441823-Raw00-f_00001.jpg,2829,2696,1242,1242
0001441823-Raw00-f_00002.jpg,2882,2780,1536,1536
0001441823-Raw00-f_00004.jpg,2286,2197,937,937
0001441823-Raw01-f_00002.jpg,2359,2170,895,895
0001441823-Raw02-f_00001.jpg,3755,3501,1430,1430
0001441823-Raw02-f_00003.jpg,5255,4872,1427,1427
0001441823-Raw02-f_00007.jpg,5936,5428,1765,1765
0001441823-Raw02-f_00010.jpg,5101,4696,1520,1520
0001441823-Raw12-f_00000.jpg,2898,2822,2136,2136
0001441824-Raw01-f_00007.jpg,1907,1902,954,954
0001441824-Raw01-f_00010.jpg,2275,2211,987,987
0001441824-Raw02-f_00004.jpg,7653,7045,2182,2182
0001441824-Raw02-f_00011.jpg,9411,8529,2549,2549
0001441830-Raw00-f_00001.jpg,2267,2179,1104,1104
0001441830-Raw00-f_00002.jpg,2232,2129,1088,1088
0001441830-Raw00-f_00003.jpg,1448,1383,710,710
0001441830-Raw01-f_00002.jpg,2214,2087,1096,1096
0001441830-Raw01-f_00003.jpg,2666,2484,1146,1146
0001441830-Raw01-f_00004.jpg,2290,2143,1011,1011
0001441830-Raw01-f_00005.jpg,2981,2820,1585,1585
0001441830-Raw01-f_00007.jpg,2022,1962,962,962
0001441830-Raw01-f_00008.jpg,2750,2571,1250,1250
0001441830-Raw02-f_00001.jpg,12331,11019,3078,3078
0001441830-Raw02-f_00002.jpg,6023,5471,1652,1652
0001441830-Raw02-f_00003.jpg,5939,5498,1735,1735
0001441830-Raw03-f_00001.jpg,2745,2469,1176,1176
0001441830-Raw03-f_00003.jpg,1622,1544,1075,1075
0001441830-Raw03-f_00008.jpg,1767,1673,1275,1275
0001441830-Raw03-f_00009.jpg,2368,2197,1777,1777
0001469108_Raw02_f_00001.jpg,2837,2808,2047,2047
0001469108_Raw13_f_00012.jpg,5957,5757,2954,2954
0001469690_Raw00_f_00001.jpg,5659,5482,3002,3002
0001469690_Raw01_f_00004.jpg,2652,2565,1434,1434
0001469723_Raw11_f_00005.jpg,1630,1533,891,891
0001469762_Raw11_f_00004.jpg,3179,3026,2133,2133
0001469762_Raw12_f_00003.jpg,11277,10214,5404,5404
0001469762_Raw12_f_00005.jpg,4999,4787,3601,3601
0001469762_Raw12_f_00006.jpg,7339,6617,4018,4018
0001469762_Raw13_f_00001.jpg,7546,6483,2930,2930
0001469762_Raw13_f_00002.jpg,3484,3301,2363,2363
0001469762_Raw13_f_00004.jpg,4391,4138,2588,2588
0001469762_Raw13_f_00006.jpg,3500,3385,2122,2122
0001469763_Raw11_f_00006.jpg,1774,1704,1218,1218
0001469763_Raw12_f_00002.jpg,4175,3854,2983,2983
0001469763_Raw12_f_00003.jpg,3352,3258,2595,2595
0001469763_Raw12_f_00005.jpg,4372,4145,3215,3215
0001469763_Raw12_f_00006.jpg,3868,3663,2676,2676
0001469763_Raw13_f_00001.jpg,3117,3013,2239,2239
0001469763_Raw13_f_00005.jpg,3616,3486,2753,2753
0001469820_Raw01_f_00009.jpg,2426,2356,1225,1225
0001469820_Raw12_f_00018.jpg,2230,1992,1426,1426
0001469871_Raw02_f_00001.jpg,3044,2863,1350,1350
0001469871_Raw03_f_00001.jpg,1801,1775,1112,1112
0001469877_Raw12_f_00010.jpg,1458,1434,853,853
0001469877_Raw13_f_00010.jpg,2559,2486,1479,1479
0001469897_Raw00_f_00006.jpg,2795,2600,1124,1124
0001469897_Raw02_f_00001.jpg,5420,5208,2114,2114
0001469912_Raw12_f_00001.jpg,3387,3296,2668,2668
0001469912_Raw12_f_00005.jpg,2823,2737,1836,1836
0001469928_Raw11_f_00002.jpg,1352,1272,834,834
0001469928_Raw11_f_00006.jpg,1036,1026,667,667
0001469928_Raw12_f_00002.jpg,2854,2798,2253,2253
0001469928_Raw13_f_00002.jpg,3010,2849,1885,1885
0001470010_Raw02_f_00001.jpg,2063,2008,1063,1063
0001470010_Raw11_f_00007.jpg,831,831,519,519
0001470010_Raw12_f_00007.jpg,1821,1799,1075,1075
0001470010_Raw12_f_00008.jpg,2329,2262,1458,1458
0001470010_Raw13_f_00007.jpg,2787,2691,1849,1849
0001470010_Raw13_f_00008.jpg,2802,2727,2096,2096
0001470016_Raw11_f_00000.jpg,1139,1135,994,994
0001470016_Raw13_f_00008.jpg,1893,1857,1313,1313
0001470055_Raw02_f_00007.jpg,1970,1957,525,525
0001470055_Raw12_f_00002.jpg,6021,5926,3918,3918
0001470112_Raw13_f_00002.jpg,3628,3524,1977,1977
0001470125_Raw13_f_00002.jpg,9107,8493,4393,4393
0001470125_Raw13_f_00003.jpg,8392,8025,4316,4316
0001470125_Raw13_f_00004.jpg,6464,6228,3329,3329
0001470125_Raw13_f_00007.jpg,8413,7795,3850,3850
0001470146_Raw11_f_00009.jpg,1426,1319,707,707
0001470146_Raw13_f_00001.jpg,8554,7765,4520,4520
0001470146_Raw13_f_00002.jpg,8952,7870,4525,4525
0001470146_Raw13_f_00008.jpg,8350,7639,3931,3931
0001470198_Raw11_f_00009.jpg,1068,956,523,523
0001470204_Raw10_f_00001.jpg,765,765,516,516
0001470204_Raw10_f_00003.jpg,1283,1229,831,831
0001470204_Raw10_f_00012.jpg,1341,1297,1050,1050
0001470204_Raw11_f_00001.jpg,737,735,501,501
0001470204_Raw11_f_00011.jpg,764,748,478,478
0001470204_Raw11_f_00012.jpg,3079,2760,1830,1830
0001470204_Raw12_f_00004.jpg,2676,2481,1110,1110
0001470204_Raw12_f_00011.jpg,1964,1945,1224,1224
0001470204_Raw12_f_00012.jpg,5830,5329,3470,3470
0001470204_Raw13_f_00001.jpg,3995,3813,2251,2251
0001470204_Raw13_f_00002.jpg,3444,3314,2170,2170
0001472015_Raw02_f_00001.jpg,1979,1933,966,966
0001472015_Raw12_f_00011.jpg,2522,2452,1717,1717
0001472015_Raw12_f_00012.jpg,3302,3197,2060,2060
0001472015_Raw13_f_00005.jpg,3673,3470,2031,2031
0001472015_Raw13_f_00006.jpg,2910,2809,1731,1731
0001472015_Raw13_f_00012.jpg,4049,3889,2207,2207
0001472115_Raw00_f_00006.jpg,4122,3983,2035,2035
0001472115_Raw01_f_00002.jpg,4225,3974,2017,2017
0001472115_Raw01_f_00003.jpg,4321,4083,2290,2290
0001472115_Raw01_f_00006.jpg,4423,4185,2145,2145
0001472221_Raw02_f_00001.jpg,4511,4206,2000,2000
0001472221_Raw10_f_00002.jpg,2039,1975,1045,1045
0001472221_Raw11_f_00002.jpg,2568,2416,1299,1299
0001472221_Raw12_f_00002.jpg,4161,3921,2117,2117
0001472221_Raw13_f_00002.jpg,6573,6268,3594,3594
0001472221_Raw13_f_00004.jpg,4083,3856,1944,1944
0001472228_Raw01_f_00019.jpg,5346,5191,3792,3792
0001472228_Raw02_f_00019.jpg,3851,3635,2050,2050
0001472228_Raw02_f_00020.jpg,6172,5875,3426,3426
0001472228_Raw03_f_00020.jpg,6208,5863,3285,3285
0001472228_Raw11_f_00020.jpg,3998,3635,1483,1483
0001472228_Raw12_f_00018.jpg,6170,5782,3021,3021
0001472229_Raw00_f_00000.jpg,2131,1990,925,925
0001472229_Raw00_f_00007.jpg,11380,10721,6164,6164
