image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1533,1337,1337
0001404397-Raw00-f_00011.jpg,2540,2189,1598,1598
0001404397-Raw01-f_00003.jpg,1783,1759,1529,1529
0001404397-Raw01-f_00006.jpg,2579,2483,1949,1949
0001416364-Raw00-f_00008.jpg,5410,5181,4315,4315
0001416364-Raw00-f_00009.jpg,6587,6239,4833,4833
0001416364-Raw01-f_00002.jpg,4066,3963,3384,3384
0001416364-Raw01-f_00003.jpg,3137,3064,2729,2729
0001416364-Raw01-f_00005.jpg,3928,3791,3276,3276
0001416364-Raw02-f_00009.jpg,4237,4093,3506,3506
0001416970-Raw01-f_00005.jpg,2074,2037,1733,1733
0001416970-Raw02-f_00003.jpg,2794,2735,2330,2330
0001416970-Raw02-f_00005.jpg,2555,2501,2171,2171
0001416970-Raw12-f_00004.jpg,1765,1738,1524,1524
0001416970-Raw13-f_00008.jpg,2812,2711,2288,2288
0001417541-Raw00-f_00005.jpg,2168,2146,1786,1786
0001417541-Raw02-f_00006.jpg,2557,2519,2165,2165
0001417541-Raw02-f_00007.jpg,3530,3444,2709,2709
0001417541-Raw02-f_00011.jpg,2425,2384,2035,2035
0001417541-Raw03-f_00006.jpg,1661,1623,1512,1512
0001417541-Raw03-f_00007.jpg,1477,1429,1293,1293
0001417971-Raw02-f_00002.jpg,3767,3664,3184,3184
0001417971-Raw02-f_00011.jpg,3741,3578,2870,2870
0001417971-Raw12-f_00007.jpg,725,707,634,634
0001420781-Raw00-f_00004.jpg,7596,7417,6294,6294
0001420781-Raw01-f_00002.jpg,5274,5119,4341,4341
0001420781-Raw01-f_00009.jpg,5888,5653,4556,4556
0001420781-Raw01-f_00010.jpg,5977,5850,5057,5057
0001420781-Raw02-f_00007.jpg,5826,5643,4673,4673
0001420781-Raw02-f_00009.jpg,5598,5468,4522,4522
0001422620-Raw00-f_00002.jpg,4110,3908,3073,3073
0001422620-Raw00-f_00004.jpg,3449,3327,2711,2711
0001422620-Raw00-f_00005.jpg,3693,3487,2802,2802
0001422620-Raw01-f_00001.jpg,4588,4390,3374,3374
0001422620-Raw01-f_00003.jpg,4785,4519,3571,3571
0001422620-Raw01-f_00004.jpg,4898,4704,3731,3731
0001422620-Raw01-f_00006.jpg,4882,4634,3734,3734
0001422620-Raw01-f_00007.jpg,2090,1993,1815,1815
0001422620-Raw02-f_00004.jpg,3767,3619,3052,3052
0001429378-Raw01-f_00002.jpg,3541,3449,2826,2826
0001430517-Raw02-f_00004.jpg,4393,4293,3451,3451
0001430517-Raw02-f_00009.jpg,3277,3226,2480,2480
0001432633-Raw00-f_00002.jpg,1768,1704,1471,1471
0001432633-Raw01-f_00001.jpg,2175,2097,1675,1675
0001432633-Raw01-f_00008.jpg,2385,2335,1897,1897
0001432633-Raw02-f_00000.jpg,1797,1754,1566,1566
0001432633-Raw02-f_00002.jpg,3235,2978,2342,2342
0001432633-Raw02-f_00003.jpg,3134,3006,2437,2437
0001433039-Raw00-f_00006.jpg,4907,4476,3725,3725
0001441823-Raw00-f_00001.jpg,2829,2696,2200,2200
0001441823-Raw00-f_00002.jpg,2882,2780,2309,2309
0001441823-Raw00-f_00004.jpg,2286,2197,1687,1687
0001441823-Raw01-f_00002.jpg,2359,2170,1544,1544
0001441823-Raw02-f_00001.jpg,3755,3501,2708,2708
0001441823-Raw02-f_00003.jpg,5255,4872,3340,3340
0001441823-Raw02-f_00007.jpg,5936,5428,3747,3747
0001441823-Raw02-f_00010.jpg,5101,4696,3279,3279
0001441823-Raw12-f_00000.jpg,2898,2822,2628,2628
0001441824-Raw01-f_00007.jpg,1907,1902,1486,1486
0001441824-Raw01-f_00010.jpg,2275,2211,1716,1716
0001441824-Raw02-f_00004.jpg,7653,7045,4968,4968
0001441824-Raw02-f_00011.jpg,9411,8529,5834,5834
0001441830-Raw00-f_00001.jpg,2267,2179,1738,1738
0001441830-Raw00-f_00002.jpg,2232,2129,1719,1719
0001441830-Raw00-f_00003.jpg,1448,1383,1110,1110
0001441830-Raw01-f_00002.jpg,2214,2087,1684,1684
0001441830-Raw01-f_00003.jpg,2666,2484,1823,1823
0001441830-Raw01-f_00004.jpg,2290,2143,1708,1708
