image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001400264-Raw03-f_00009.jpg,1589,1468,1298,1298
0001404397-Raw00-f_00011.jpg,2540,2008,1520,1520
0001404397-Raw01-f_00003.jpg,1783,1711,1497,1497
0001404397-Raw01-f_00006.jpg,2579,2389,1908,1908
0001416364-Raw00-f_00008.jpg,5410,4888,4141,4141
0001416364-Raw00-f_00009.jpg,6587,5855,4612,4612
0001416364-Raw01-f_00002.jpg,4066,3855,3325,3325
0001416364-Raw01-f_00003.jpg,3137,2995,2679,2679
0001416364-Raw01-f_00005.jpg,3928,3651,3192,3192
0001416364-Raw02-f_00009.jpg,4237,3909,3373,3373
0001416970-Raw01-f_00005.jpg,2074,1983,1690,1690
0001416970-Raw02-f_00003.jpg,2794,2650,2264,2264
0001416970-Raw02-f_00005.jpg,2555,2422,2114,2114
0001416970-Raw12-f_00004.jpg,1765,1686,1492,1492
0001416970-Raw13-f_00008.jpg,2812,2582,2214,2214
0001417541-Raw00-f_00005.jpg,2168,2113,1769,1769
0001417541-Raw02-f_00006.jpg,2557,2438,2107,2107
0001417541-Raw02-f_00007.jpg,3530,3284,2625,2625
0001417541-Raw02-f_00011.jpg,2425,2325,1992,1992
0001417541-Raw03-f_00006.jpg,1661,1569,1475,1475
0001417541-Raw03-f_00007.jpg,1477,1388,1271,1271
0001417971-Raw02-f_00002.jpg,3767,3471,3041,3041
0001417971-Raw02-f_00011.jpg,3741,3367,2736,2736
0001417971-Raw12-f_00007.jpg,725,680,615,615
0001420781-Raw00-f_00004.jpg,7596,7070,6056,6056
0001420781-Raw01-f_00002.jpg,5274,4878,4179,4179
0001420781-Raw01-f_00009.jpg,5888,5405,4423,4423
0001420781-Raw01-f_00010.jpg,5977,5632,4905,4905
0001420781-Raw02-f_00007.jpg,5826,5344,4450,4450
0001420781-Raw02-f_00009.jpg,5598,5229,4370,4370
0001422620-Raw00-f_00002.jpg,4110,3658,2945,2945
0001422620-Raw00-f_00004.jpg,3449,3120,2578,2578
0001422620-Raw00-f_00005.jpg,3693,3297,2702,2702
0001422620-Raw01-f_00001.jpg,4588,4151,3240,3240
0001422620-Raw01-f_00003.jpg,4785,4272,3450,3450
