image,baseline_before,baseline_score_kept,baseline_overlap_kept,added_total
0001469877_Raw12_f_00010.jpg,1458,1458,1230,1230
0001469877_Raw13_f_00010.jpg,2559,2559,2192,2192
0001469897_Raw00_f_00006.jpg,2795,2795,2072,2072
0001469897_Raw02_f_00001.jpg,5420,5420,4201,4201
0001469912_Raw12_f_00001.jpg,3387,3387,3214,3214
0001469912_Raw12_f_00005.jpg,2823,2823,2482,2482
0001469928_Raw11_f_00002.jpg,1352,1352,1172,1172
0001469928_Raw11_f_00006.jpg,1036,1036,904,904
0001469928_Raw12_f_00002.jpg,2854,2854,2728,2728
0001469928_Raw13_f_00002.jpg,3010,3010,2510,2510
0001470010_Raw02_f_00001.jpg,2063,2063,1701,1701
0001470010_Raw11_f_00007.jpg,831,831,739,739
0001470010_Raw12_f_00007.jpg,1821,1821,1600,1600
0001470010_Raw12_f_00008.jpg,2329,2329,2001,2001
0001470010_Raw13_f_00007.jpg,2787,2787,2453,2453
0001470010_Raw13_f_00008.jpg,2802,2802,2599,2599
0001470016_Raw11_f_00000.jpg,1139,1139,1124,1124
0001470016_Raw13_f_00008.jpg,1893,1893,1732,1732
0001470055_Raw02_f_00007.jpg,1970,1970,1453,1453
0001470055_Raw12_f_00002.jpg,6021,6021,5349,5349
0001470112_Raw13_f_00002.jpg,3628,3628,3152,3152
0001470125_Raw13_f_00002.jpg,9107,9107,7672,7672
0001470125_Raw13_f_00003.jpg,8392,8392,7075,7075
0001470125_Raw13_f_00004.jpg,6464,6464,5462,5462
0001470125_Raw13_f_00007.jpg,8413,8413,6705,6705
0001470146_Raw11_f_00009.jpg,1426,1426,1207,1207
0001470146_Raw13_f_00001.jpg,8554,8554,7142,7142
0001470146_Raw13_f_00002.jpg,8952,8952,7199,7199
0001470146_Raw13_f_00008.jpg,8350,8350,6864,6864
0001470198_Raw11_f_00009.jpg,1068,1068,850,850
0001470204_Raw10_f_00001.jpg,765,765,712,712
0001470204_Raw10_f_00003.jpg,1283,1283,1089,1089
0001470204_Raw10_f_00012.jpg,1341,1341,1306,1306
0001470204_Raw11_f_00001.jpg,737,737,682,682
0001470204_Raw11_f_00011.jpg,764,764,679,679
0001470204_Raw11_f_00012.jpg,3079,3079,2826,2826
0001470204_Raw12_f_00004.jpg,2676,2676,2045,2045
0001470204_Raw12_f_00011.jpg,1964,1964,1668,1668
0001470204_Raw12_f_00012.jpg,5830,5830,5315,5315
0001470204_Raw13_f_00001.jpg,3995,3995,3358,3358
0001470204_Raw13_f_00002.jpg,3444,3444,3129,3129
0001472015_Raw02_f_00001.jpg,1979,1979,1630,1630
0001472015_Raw12_f_00011.jpg,2522,2522,2261,2261
0001472015_Raw12_f_00012.jpg,3302,3302,2866,2866
0001472015_Raw13_f_00005.jpg,3673,3673,2990,2990
0001472015_Raw13_f_00006.jpg,2910,2910,2419,2419
0001472015_Raw13_f_00012.jpg,4049,4049,3302,3302
0001472115_Raw00_f_00006.jpg,4122,4122,3405,3405
0001472115_Raw01_f_00002.jpg,4225,4225,3299,3299
0001472115_Raw01_f_00003.jpg,4321,4321,3518,3518
0001472115_Raw01_f_00006.jpg,4423,4423,3628,3628
0001472221_Raw02_f_00001.jpg,4511,4511,3448,3448
0001472221_Raw10_f_00002.jpg,2039,2039,1545,1545
0001472221_Raw11_f_00002.jpg,2568,2568,2033,2033
0001472221_Raw12_f_00002.jpg,4161,4161,3297,3297
0001472221_Raw13_f_00002.jpg,6573,6573,5592,5592
0001472221_Raw13_f_00004.jpg,4083,4083,3213,3213
0001472228_Raw01_f_00019.jpg,5346,5346,4774,4774
0001472228_Raw02_f_00019.jpg,3851,3851,3012,3012
0001472228_Raw02_f_00020.jpg,6172,6172,5050,5050
0001472228_Raw03_f_00020.jpg,6208,6208,4872,4872
0001472228_Raw11_f_00020.jpg,3998,3998,2933,2933
0001472228_Raw12_f_00018.jpg,6170,6170,4651,4651
0001472229_Raw00_f_00000.jpg,2131,2131,1503,1503
0001472229_Raw00_f_00007.jpg,11380,11380,9221,9221
0001472229_Raw01_f_00006.jpg,5638,5638,4603,4603
0001472229_Raw01_f_00007.jpg,9696,9696,7459,7459
0001472229_Raw02_f_00005.jpg,2494,2494,2017,2017
0001472229_Raw13_f_00000.jpg,8466,8466,6570,6570
0001472229_Raw13_f_00004.jpg,7768,7768,6839,6839
0001472295_Raw00_f_00006.jpg,2213,2213,1853,1853
0001472295_Raw12_f_00000.jpg,3687,3687,3484,3484
0001472295_Raw12_f_00001.jpg,2164,2164,1995,1995
0001472295_Raw13_f_00007.jpg,2366,2366,2098,2098
0001472295_Raw13_f_00010.jpg,2256,2256,1955,1955
0001472302_Raw01_f_00010.jpg,2690,2690,2253,2253
0001472302_Raw11_f_00001.jpg,942,942,823,823
0001472302_Raw12_f_00001.jpg,2335,2335,2184,2184
0001472302_Raw12_f_00006.jpg,2771,2771,2488,2488
0001472449_Raw13_f_00010.jpg,2828,2828,2358,2358
0001472449_Raw13_f_00012.jpg,3736,3736,3105,3105
0001472453_Raw00_f_00003.jpg,2718,2718,2200,2200
0001472453_Raw00_f_00006.jpg,2562,2562,1963,1963
0001472453_Raw00_f_00009.jpg,2619,2619,2013,2013
0001472453_Raw00_f_00012.jpg,2756,2756,2149,2149
0001472453_Raw01_f_00006.jpg,2734,2734,2356,2356
